user role id,email,password,distributor id,exe id
6,sales1@skyzen.com,sales,1,1
6,sales2@skyzen.com,sales,2,2
6,sales3@skyzen.com,sales,3,3
6,sales4@skyzen.com,sales,4,4
6,sales5@skyzen.com,sales,5,5
6,sales6@skyzen.com,sales,6,6
6,sales7@skyzen.com,sales,7,7
6,sales8@skyzen.com,sales,8,8
6,sales9@skyzen.com,sales,9,9
6,sales10@skyzen.com,sales,10,10
6,sales11@skyzen.com,sales,11,11
6,sales12@skyzen.com,sales,12,12
6,sales13@skyzen.com,sales,13,13
6,sales14@skyzen.com,sales,14,14
6,sales15@skyzen.com,sales,15,15
6,sales16@skyzen.com,sales,16,16
6,sales17@skyzen.com,sales,17,17
6,sales18@skyzen.com,sales,18,18
